,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Axim,GH,79.29,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
302,Cockburn Town,TC,81.1,clear sky,21.46,-71.14,Osprey Beach Hotel
307,San Carlos,VE,88.72,broken clouds,9.66,-68.58,Hotel Paternopoli
309,Laguna De Perlas,NI,77.09,overcast clouds,12.34,-83.67,Hotel Best View
310,Manono,CD,75.22,overcast clouds,-7.30,27.42,Hotel hewa bora
315,Vilhena,BR,89.82,thunderstorm,-12.74,-60.15,Hotel Mirage
318,Oussouye,SN,82.49,light rain,12.49,-16.55,Auberge du Routard
322,Puerto Cabezas,NI,87.76,scattered clouds,14.04,-83.39,Cabaña Caribe
323,Ambon,ID,78.24,scattered clouds,-3.70,128.18,Swiss-Belhotel Ambon
326,Karangasem,ID,78.06,overcast clouds,-8.45,115.62,Villa Campuhan
328,Linhares,BR,84.58,broken clouds,-19.39,-40.07,Hotel Conceição
